eno,id,mouse,pm25,mopos
1.9459101490553132,11,NA,NA,yes
3.1780538303479458,11,-3.4112477175156566,NA,yes
4.04305126783455,11,-9.210340371976182,12.29325,yes
2.0794415416798357,11,NA,NA,yes
NA,11,-9.210340371976182,13.9353,yes
3.6888794541139363,12,NA,NA,no
4.653960350157523,12,-2.9565115604007097,31.01436,no
3.1354942159291497,12,-3.3242363405260273,37.39752,no
-9.210340371976182,12,NA,NA,no
3.4011973816621555,12,-9.210340371976182,35.37066,no
2.4849066497880004,13,NA,NA,NA
4.02535169073515,13,-0.3438997524500096,31.31431,NA
3.828641396489095,13,-2.375155785828881,44.97339,NA
-9.210340371976182,13,NA,NA,NA
-9.210340371976182,13,-2.2164073967529934,23.61779,NA
NA,14,NA,NA,yes
1.6094379124341003,14,0.045928931888399735,8.805539,yes
1.9459101490553132,14,-1.6928195213731514,5.058342,yes
1.6094379124341003,14,NA,NA,yes
-9.210340371976182,14,-1.0272222925814367,17.69088,yes
1.9459101490553132,19,NA,NA,no
1.791759469228055,19,-9.210340371976182,18.33418,no
2.8903717578961645,19,-9.210340371976182,11.39418,no
-9.210340371976182,19,NA,NA,no
-9.210340371976182,19,NA,13.53239,no
-9.210340371976182,20,NA,NA,no
2.0794415416798357,20,-2.8473122684357177,7.834723,no
1.6094379124341003,20,NA,NA,no
2.0794415416798357,21,NA,NA,yes
2.995732273553991,21,0.7570605063035981,52.30552,yes
-9.210340371976182,21,0.8289884034713584,59.77784,yes
-9.210340371976182,21,NA,NA,yes
-9.210340371976182,21,-3.506557897319982,117.4012,yes
1.6094379124341003,25,NA,NA,NA
2.9444389791664403,25,-1.5095925774643841,26.29958,NA
-9.210340371976182,25,-9.210340371976182,14.22013,NA
-9.210340371976182,25,NA,NA,NA
-9.210340371976182,25,-2.6736487743848776,NA,NA
2.6390573296152584,27,NA,NA,yes
-9.210340371976182,27,-1.7092582477163114,64.70158,yes
1.9459101490553132,27,-9.210340371976182,84.08917,yes
-9.210340371976182,27,NA,NA,yes
-9.210340371976182,27,-1.4105870536889351,4.777535,yes
2.0794415416798357,29,NA,NA,yes
