pmFRM,date,cloud_cover,water_vapor_used,location,filename
11.1,2017-01-17,0.11,0.55,lasvegas,20170117_173931_0e19_3B_AnalyticMS_clip.rds
4.83125,2017-01-24,0.07,0.72,lasvegas,20170124_173958_0e16_3B_AnalyticMS_clip.rds
9.298611000000001,2017-01-28,0.11,0.5,lasvegas,20170128_174036_0e0d_3B_AnalyticMS_clip.rds
17.722222333333335,2017-01-31,0.18,0.64,lasvegas,20170131_173932_0e20_3B_AnalyticMS_clip.rds
11.814583500000001,2017-02-02,0.23,0.6,lasvegas,20170202_174046_0e3a_3B_AnalyticMS_clip.rds
8.025,2017-02-04,0.11,0.59,lasvegas,20170204_174052_0e0f_3B_AnalyticMS_clip.rds
9.3083335,2017-02-16,0.02,1.3,lasvegas,20170216_173955_0e30_3B_AnalyticMS_clip.rds
9.3083335,2017-02-16,0.02,1.3,lasvegas,20170216_173956_0e30_3B_AnalyticMS_clip.rds
5.915942,2017-03-05,0.07,0.25,lasvegas,20170305_174056_0e2f_3B_AnalyticMS_clip.rds
11.529166499999999,2017-03-07,0.01,0.77,lasvegas,20170307_174043_0e19_3B_AnalyticMS_clip.rds
11.13125,2017-03-13,0,0.93,lasvegas,20170313_174132_0e3a_3B_AnalyticMS_clip.rds
9.356944333333333,2017-03-17,0.78,1.3,lasvegas,20170317_173359_1018_3B_AnalyticMS_clip.rds
4.518750000000001,2017-03-24,0.02,1.2,lasvegas,20170324_174055_0e26_3B_AnalyticMS_clip.rds
4.912121333333333,2017-03-26,0,1.4,lasvegas,20170326_174106_0e14_3B_AnalyticMS_clip.rds
4.912121333333333,2017-03-26,0.01,1.5,lasvegas,20170326_174107_0e14_3B_AnalyticMS_clip.rds
5.1479165,2017-03-28,0.01,0.77,lasvegas,20170328_174111_0e0e_3B_AnalyticMS_clip.rds
12.025,2017-03-30,0.18,0.88,lasvegas,20170330_174150_0e1f_3B_AnalyticMS_clip.rds
5.0083335,2017-03-31,0.92,0.55,lasvegas,20170331_173428_1018_3B_AnalyticMS_clip.rds
5.0083335,2017-03-31,0.94,0.53,lasvegas,20170331_173429_1018_3B_AnalyticMS_clip.rds
5,2017-04-03,0.01,1.3,lasvegas,20170403_174221_0e2f_3B_AnalyticMS_clip.rds
5,2017-04-03,0.02,1.3,lasvegas,20170403_174222_0e2f_3B_AnalyticMS_clip.rds
7.726316,2017-04-05,0,0.94,lasvegas,20170405_173454_1019_3B_AnalyticMS_clip.rds
7.726316,2017-04-05,0.01,0.97,lasvegas,20170405_174150_0e19_3B_AnalyticMS_clip.rds
6.643750000000001,2017-04-09,0.01,0.44,lasvegas,20170409_174226_0e20_3B_AnalyticMS_clip.rds
10.391666666666666,2017-04-10,0,0.53,lasvegas,20170410_173424_1034_3B_AnalyticMS_clip.rds
10.391666666666666,2017-04-10,0,0.53,lasvegas,20170410_173429_1038_3B_AnalyticMS_clip.rds
5.452777666666666,2017-04-13,0.02,0.66,lasvegas,20170413_174243_0e0f_3B_AnalyticMS_clip.rds
5.9,2017-04-14,0.01,1.1,lasvegas,20170414_173502_100e_3B_AnalyticMS_clip.rds
10.043055666666666,2017-04-19,0.01,1.1,lasvegas,20170419_174243_0e14_3B_AnalyticMS_clip.rds
12.335416500000001,2017-04-23,0,0.58,lasvegas,20170423_173507_100f_3B_AnalyticMS_clip.rds
12.335416500000001,2017-04-23,0.01,0.81,lasvegas,20170423_174253_0e1f_3B_AnalyticMS_clip.rds
12.335416500000001,2017-04-23,0.02,0.81,lasvegas,20170423_174254_0e1f_3B_AnalyticMS_clip.rds
8.147916500000001,2017-04-26,0.06,1.1,lasvegas,20170426_173536_1025_3B_AnalyticMS_clip.rds
5.8291664999999995,2017-04-27,0.01,0.91,lasvegas,20170427_174234_0e2f_3B_AnalyticMS_clip.rds
4.147916499999999,2017-04-29,0.02,0.82,lasvegas,20170429_173525_1004_3B_AnalyticMS_clip.rds
4.147916499999999,2017-04-29,0.02,0.8,lasvegas,20170429_174225_0e19_3B_AnalyticMS_clip.rds
3.83125,2017-04-30,0.01,0.87,lasvegas,20170430_173607_1022_3B_AnalyticMS_clip.rds
6.237500000000001,2017-05-03,0.01,1.2,lasvegas,20170503_173630_1019_3B_AnalyticMS_clip.rds
7.816666666666666,2017-05-04,0.02,1.1,lasvegas,20170504_173606_0f34_3B_AnalyticMS_clip.rds
10.6041665,2017-05-05,0.01,1,lasvegas,20170505_173538_1021_3B_AnalyticMS_clip.rds
6.2375,2017-05-10,0.05,1.5,lasvegas,20170510_173600_1002_3B_AnalyticMS_clip.rds
6.2375,2017-05-10,0.03,1.4,lasvegas,20170510_173601_1002_3B_AnalyticMS_clip.rds
8.2291665,2017-05-11,0.02,2,lasvegas,20170511_174216_0e26_3B_AnalyticMS_clip.rds
6.071212,2017-05-13,0.03,0.68,lasvegas,20170513_173701_1013_3B_AnalyticMS_clip.rds
8.484722333333334,2017-05-16,0.02,1.1,lasvegas,20170516_173706_100f_3B_AnalyticMS_clip.rds
8.0416665,2017-05-20,0.01,1.3,lasvegas,20170520_174325_0e16_3B_AnalyticMS_clip.rds
6.0291665,2017-05-21,0.01,1.2,lasvegas,20170521_173655_1005_3B_AnalyticMS_clip.rds
